reviews,price,drink,dessert,service,customers,interior,view,parking,etc,trash
근데 사장님이 조만간 메뉴 갈아엎는 대요 크로플이랑 시멘트 남겨 두실 거죠.?,,1,1,,,,,,,
진짜 크로플 미쳤구요..,,,1,,,,,,,
버터 무슨 음료 이것도 너무 맛있어요,,1,,,,,,,,
크로플이 진짜 미쳤습니다.,,,1,,,,,,,
지금까지 제가 먹었던 크로플은 무엇이죠?,,,1,,,,,,,
진짜 너무 분위기도 좋고 걍 너무 행복해요,,,,,,1,,,,
홍콩 영화 무드 때문에 재방문했는데 알고 보니 여기 엄청난 크로플 맛집입니다,,,1,,,1,,,,
첫 방문 때 크로플을 안 시킨 내가 미워…,,,1,,,,,,,
인테리어 정말 아름답구요,,,,,,1,,,,
바닐라 라떼 맛있어요,,1,,,,,,,,
2 층에 있어서 뭔가 아지트 같은 느낌이 들어요,,,,,,1,,,,
화장실에 비누가 없어서 좀 아쉬워요.,,,,1,,,,,,
이런 곳에 카페가 있나 하고 들어가니 숨겨진 보물 같은 인테리어가 반겨 주네요.,,,,,,1,,,,
카페 너무 예쁘고,,,,,,1,,,,
선곡도 너무 좋아요.,,,,1,,,,,,
바닐라 라떼가 진짜입니다.,,1,,,,,,,,
이 동네 흔하지 않은 을지로 무드,,,,,,1,,,,
이용하기 편하고 저렴해용,1,,,1,,,,,,
커피 사장님 추천으로 우리는 해 목에서 밥 먹고 또 천장 지구 와서 바라 테이크 아웃을 했다,,,,1,,,,,,
유튜브와 tv 뮤직비디오 나오고,,,,1,,,,,,
분위기가 진짜 깡패,,,,,,1,,,,
커피 맛 있고,,1,,,,,,,,
분위기가 좋아요,,,,,,1,,,,
올 때마다 바뀌는 인테리어..,,,,,,1,,,,
이 곳에 변화는 늘 조화롭다,,,,,,1,,,,
강남 여행 내 힐링 공간,,,,,,1,,,,
홍콩 분위기 넘 좋아요,,,,,,1,,,,
분위기 정말 앤티크하고 멋지더라구요,,,,,,1,,,,
따로 다시 가서 편하게 시간 보내고 싶은 곳이에요,,,,,,1,,,,
너무 예쁘고 좋았어요,,,,,,1,,,,
분위기 좋은 커피집,,,,,,1,,,,
분위기 좋은 카페,,,,,,1,,,,
조용하고,,,,,,1,,,,
분위기 있는 곳을 찾다가 생각나서 오랜만에 들렸는데 사람이 아무도 없어 당황했지만 조용히 대화 나눌 수 있어 좋았어요,,,,,1,1,,,,
분위기가 독특하면서도 묘하게 매력이 있어요,,,,,,1,,,,
음료도 달달하면서도 너무 싸구려 맛이 아니라서 좋았어요!,,1,,,,,,,,
분위기 갑 카페입니다,,,,,,1,,,,
대박쓰 크로플도 맛있구 말쑥 라떼도 꿀맛,,1,1,,,,,,,
분위기 독특하고 멋져요,,,,,,1,,,,
인테리어가 정말 경성 느낌 그대로 독특하고 예뻐요,,,,,,1,,,,
펑리수랑 시멘트 커피도 맛있습니다,,1,,,,,,,,
근데 내부가 별로 시원하지 않았어요,,,,1,,,,,,
시멘트 커피 맛나요,,1,,,,,,,,
예쁜 인테리어 귀여운 강아지 맛있는 음료,,1,,,,1,,,1,
핸드드립 내려 주시는 정성,,1,,,,,,,,
친절 커피 맛있게 먹고 갑니다,,1,,1,,,,,,
무심코 들른 카페에서 친절한 사장님이 만들어 주기는 맛있는 커피 마시고 갑니다.,,1,,1,,,,,,
드립커피가 너무 맛있어서 원두 뭐 쓰시냐고 여쭤 봤는데 정신을 차리고 보니 드립 커피 강좌를 해 주고 계셨어요! 너무 감사했습니다.,,1,,1,,,,,,
베이커리도 직접 만드시는 거 같은데 집사람이 매우 좋아라 합니다.,,,1,,,,,,,
커피 맛도 좋은데,,1,,,,,,,,
분위기도 좋아요,,,,,,1,,,,
가끔 갈 때마다 사장님께서 친절하게 응대해 주시고,,,,1,,,,,,
커피에 대한 설명도 친절하게해 주세요!!,,,,1,,,,,,
몽블랑 맛있네요!!,,,1,,,,,,,
먹기 힘들 정도로 우유 크림이 가득했지만,,,1,,,,,,,
카야버터는 생각보다 카야맛이 잘 안었습니다,,,1,,,,,,,
바닐라 도넛 맛있,,,1,,,,,,,
다행이도 자리가 있어서 먹고가용,,,,,1,,,,,
인테리어 이뻐요,,,,,,1,,,,
늘 케잌과 도넛 맛있게 먹고 있어요,,,1,,,,,,,
"늘 친절한 멘트, 영혼 없는 눈빛, 공격적 말투 한결같은 직원들은 너무 바빠서 그런 거겠죠?",,,,1,,,,,,
쪼꼬푸딩 도넛 얼마나 맛 있께요,,,1,,,,,,,
곰돌이 케이크,,,1,,,,,,,
디저트가 너무 귀여워요,,,1,,,,,,,
웨이팅은 여전히 있는 편,,,,,1,,,,,
뻔한 도넛이 아니라 좋음.,,,1,,,,,,,
역세권임.,,,,,,,1,,,
도넛이 유명한 노티드지만,,,1,,,,,,,
크로플이랑 페이 글도 맛있네요!!!,,,1,,,,,,,
망고 스마일 케잌 맛있었어요,,,1,,,,,,,
직원이 좀 이상함,,,,1,,,,,,
도넛 정말 이쁘고 맛나요,,,1,,,,,,,
노티드는 사랑,,,,,,,,,,1
와 사람 진짜 많더라구요 포장 손님은 너무 많아요 깜짝 놀랐네요,,,,,1,,,,,
애플 캐모마일 티 맛있어요 자리 잡고 드실 꺼면 2 층 가서 자리 잡고,,,1,,,1,,,,
직원 분들이 친절하고,,1,,1,,,,,,
도넛 너무 맛있어요!,,,1,,,,,,,
케잌들이 정말 너무 귀여워요,,,1,,,,,,,
크랙 치즈볼과 버터밀크 스콘 맛나요,,,1,,,,,,,
크리스마스트리 모양의 와인 병 넘 예뻐서 한 병 구입했어요,,1,,,,,,,,
내부 인테리어도 노랑 노랑 예쁘네요,,,,,,1,,,,
맛이 있는 곳 와인도 좋아요,,1,,,,,,,,
맨날 커피만 먹다가 도넛은 처음 먹는 데 맛있엇 움,,1,1,,,,,,,
신상 먹으러 갔는 데 솔드아눗 하나,,,1,1,,,,,,
할머니가 노티드꺼를 너무 좋아하세요,,,,,,,,,,1
케익 종류가 많아서 좋아요,,,1,,,,,,,
가게가 진짜 아기자기하고 이뻐요!,,,,,,1,,,,
크림 도넛 맛있어요!,,,1,,,,,,,
청담 노티드는 첨 가 봤는데 좋았어요!!,,,,,,,,,,1
유명세에 비해 특별할 것 없는 맛 오래 기다려서 샀으면 좀 억울할 뻔했다,,,1,,,,,,,
요새는 이 정도 하는 도넛 집은 널리고 널렸으니까..,,,,,,,,,,1
우유 크림은 맛있고 다른 건 특색은 있으나 대단히 맛있진 않다,,,1,,,,,,,
커피 향이 좋아요,,1,,,,,,,,
다양한 음료가 맛있어요.,,1,,,,,,,,
포장 손님 엄청 많아요 몇 분 기다려서 픽업했어요 맛있어서 기다릴 만해요,,,,,1,,,,,
매장이 여기저기 많이 생겨서 그런지 웨이팅 많이 없어져서 너무 좋아용,,,,,1,,,,,
존맛탱 구리,,,,,,,,,,1
종류가 많아서 고르기 힘들었다...,,,1,,,,,,,
역시 달달하고 맛있다,,,1,,,,,,,
맛있어요 평일 퇴근 후 가도 디저트 종류가 어마어마하네요,,,1,,,,,,,
굿,,,,,,,,,,1
#라이스치즈소금빵 메뉴 네임 그대로 위에 토핑 부분 바삭하고,,,1,,,,,,,
생각보다 소금 빵 맛있어요,,,1,,,,,,,
도넛과 케이크 사러 가끔 옵니다,,,1,,,,,,,
가끔씩 당 충전으로 먹고 싶어요!,,,1,,,,,,,
인테리어 너무 이쁨 내가 옛날로 돌아간 느낌,,,,,,1,,,,
넓고,,,,,,1,,,,
조아요,,,,,,,,,,1
맛 잇어요,,,,,,,,,,1
분위기가 너무 좋은 곳이네요!!,,,,,,1,,,,
맛도 있고 정말 최고였습니다,,,,,,,,,,1
넓고,,,,,,1,,,,
인테리어가 귀여워요,,,,,,1,,,,
레트로 한 디저트가 많아요,,,1,,,,,,,
깨끗하고,,,,1,,,,,,
매장 넓우요,,,,,,1,,,,
음료가 맛있습니다.,,1,,,,,,,,
주말이고 엄청 바쁜데 직원이 둘뿐이라 진짜 허덕이시더라는,,,,1,,,,,,
안쓰럽 주문하는 데도 기다려야하고,,,,1,,,,,,
맛있어여,,,,,,,,,,1
강남 특별한 다방 특별한 메뉴,,1,1,,,,,,,
평화 다방 명칭 때문에 갔는데 인테리어 깔끔하고,,,,,,1,,,,
좌석도 편해요,,,,,,1,,,,
화장실도 깨끗하고,,,,1,,,,,,
대화하기 편했어요,,,,,,1,,,,
커피가 맛있어요,,1,,,,,,,,
메뉴가 신기한 것이 많아서 좋아요,,1,1,,,,,,,
아메리카노 맛있어요,,1,,,,,,,,
젊은 사람들이 많은 커피숍 매장 안이 후끈하네요,,,,,,,,,1,
알바생이 친절하고,,,,1,,,,,,
분위기 좋은데,,,,,,1,,,,
조명이 넘 밝아서 분위기랑 좀 안 어울려요,,,,,,1,,,,
음료는 강남 다른 곳에 비해 저렴하고 양 많음,1,1,,,,,,,,
미숫가루 맛있는 거 같아요,,1,,,,,,,,
다른 곳보다 조용하니 시간 보내기도 좋습니다!,,,,,,1,,,,
분위기도 좋아요!,,,,,,1,,,,
여자 알바생 분이 좀 불친절하더라고요...,,,,1,,,,,,
그래도 음식은 맛있었습니다,,1,1,,,,,,,
카페 내부가 넓고,,,,,,1,,,,
좌석도 많아서 좋아요!,,,,,,1,,,,
메뉴도 다양하고 비싸지도 않고,1,1,1,,,,,,,
가성비 좋은 것 같아요!,1,,,,,,,,,
맛있었어요!,,,,,,,,,,1
사람이 너무 많아서 오래 기다렸엉,,,,,1,,,,,
다방 컨셉의 카페라서 엄마가 엄청 좋아하셨어요,,,,,,1,,,,
옛날 갬성 좋아요,,,,,,1,,,,
너무 맛있어서 다 마시고,,,,,,,,,,1
다만 매장이 좀 추워요,,,,1,,,,,,
율무차 짱,,1,,,,,,,,
맛있었어요,,,,,,,,,,1
달아요,,1,,,,,,,,
맛 잇어요,,,,,,,,,,1
아메,,1,,,,,,,,
평화 다방 와 보고 싶었는 데 가성비 괜찮네여,1,,,,,,,,,
특히 디저트 가성비 최고!!,1,,,,,,,,,
쑥쑥 라떼 쑥 향 좋아여 더 진했으면 좋겠어요,,1,,,,,,,,
인절미 떡 꼬치 맛있고,,,1,,,,,,,
분위기도 좋아요,,,,,,1,,,,
인테리어가 컨셉에 맞게 신경 많이 쓴 느낌 자리는 불편 소리가 울리는 편,,,,,,1,,,,
분위기 귀여워요,,,,,,1,,,,
커피 맛집,,1,,,,,,,,
리모델링해서 더 쾌적해졌어요,,,,,,1,,,,
커피 가성비 좋은 거 같아요,1,,,,,,,,,
나른한 오후에 아이스 라떼 좋아요,,1,,,,,,,,
점심 식사 후 시원한 아아 꿀 맛이지요,,1,,,,,,,,
맛있어요,,,,,,,,,,1
커피가 맛있어요,,1,,,,,,,,
친절하고,,,,1,,,,,,
아이스크림 맛있어요,,,1,,,,,,,
넓고 깨끗하고 좋아요!,,,,1,,1,,,,
커피도 맛있습니다.,,1,,,,,,,,
커피도 맛있어요.,,1,,,,,,,,
다음에는 케익도 먹어 볼까 합니다.,,,1,,,,,,,
커피 값 싸고 맛있네요,1,1,,,,,,,,
커피도 맛있고,,1,,,,,,,,
여럿이 편하게 얘기하기 좋아요.,,,,,,1,,,,
커피값 상대적으로 저렴하고,1,,,,,,,,,
화장실도 깨끗해요.,,,,1,,,,,,
따땃한 생강차,,1,,,,,,,,
매장이 넓고,,,,,,1,,,,
음료도 저렴해요.,1,,,,,,,,,
음료가 맛있었고,,1,,,,,,,,
직원 분이 친절하세요,,,,1,,,,,,
맛있어요!,,,,,,,,,,1
불친절해요,,,,1,,,,,,
자리는 좋은데,,,,,,1,,,,
음료는 파우더 맛이 많이 났어요,,1,,,,,,,,
콩고물 팥빙수 맛있어요,,,1,,,,,,,
음료 할인 받았어요,1,,,,,,,,,
커피 맛 좋아요,,1,,,,,,,,
까페라테가 맛있어요,,1,,,,,,,,
수다 떨기 좋아요,,,,,,1,,,,
맛있어요,,,,,,,,,,1
맛있어요,,,,,,,,,,1
할인이 돼서 좋아요,1,,,,,,,,,
달고나 라떼도 맘에 들어요,,1,,,,,,,,
작지 않고 크지 않은 카페,,,,,,1,,,,
할인도,1,,,,,,,,,
사장님이 친절하세요,,,,1,,,,,,
신속하게 나와요,,,,1,,,,,,
분위기 좋는데요,,,,,,1,,,,
음 손님들이 아주 많이 시끄럽네요,,,,,1,,,,,
다들 싸우는 거인지 소리소리 지르면서 대화하시네요,,,,,1,,,,,
방배역 언덕 위 카페,,,,,,,,,,1
스콘 살짝 촉촉..,,,1,,,,,,,
플랫 화 아트는 구 냥 아이스 라떼네요,,1,,,,,,,,
커피 맛 있어요,,1,,,,,,,,
해가 참 잘 드는 카페 커피도 너무 맛있고,,1,,,,1,,,,
분위기 좋아요,,,,,,1,,,,
직접 로스팅해서 원두 선택 가능하고,,1,,,,,,,,
싱글 오리진도 다양하게 보유하고 있어요,,1,,,,,,,,
한 가지 아쉬운 건 주차가 안 된다는 점,,,,,,,,1,,
오랜만에 갔는데도 여전히 커피 맛집,,1,,,,,,,,
항상 커피 맛있고 좋은 공간 감사합니다.,,1,,,,1,,,,
오랜만에 가도 늘 친절하고,,,,1,,,,,,
라떼가 맛있는 매장이에요,,1,,,,,,,,
아이스 라떼 고소하고 맛있어요!,,1,,,,,,,,
라떼가 맛있어용,,1,,,,,,,,
라떼가 맛있는 매장이에요,,1,,,,,,,,
드립백 만드셨다고 선물로 먹어 보라고 2개 주셔서 기분 좋은 날이였어요.,,,,1,,,,,,
항상 친절하고 상냥하신 사장님 덕분에 맛있고 좋은 드립백도 지인 선물하려고 구입해 왔어요.,,,,1,,,,,,
오늘 라떼도 넘 맛나게 잘 먹고 왔어요,,1,,,,,,,,
라떼 아트를 너무 이쁘게 해 주셔서 항상 감동이에요,,1,,1,,,,,,
커피 고소하고 맛있어요!,,1,,,,,,,,
매장 분위기가 너무 좋아요!,,,,,,1,,,,
무엇보다 사장님이 넘 친절하세요,,,,1,,,,,,
라떼 아트가 이쁜 단골 카페에요.,,1,,1,,,,,,
하루에 힐링하는 장소에요,,,,,,,,,,1
라떼 아트를 너무 이쁘게 해 주셔서 기분 전환으로 최고인 곳이에요,,1,,1,,,,,,
스콘도 직접 만들어 판매하셔서 고소하고 맛있어요,,,1,,,,,,,
라떼 아트가 사랑스러운 곳이에요,,1,,1,,,,,,
커피 넘 맛있고,,1,,,,,,,,
저만의 힐링 장소에요,,,,,,,,,,1
라떼 아트 예술이에요,,1,,1,,,,,,
카페 분위기 너무 좋아요,,,,,,1,,,,
라떼랑 스콘 설명 필요 없는 맛,,1,1,,,,,,,
분위기도 너무 좋고 차분하게 이야기하기 좋은 장소.,,,,,,1,,,,
스콘이랑 커피도 너무 맛있음.,,1,1,,,,,,,
너무 진짜 정말 맛있어요!!!,,,,,,,,,,1
차도 맛보라구 주셨는 데 차도 취향저격,,1,,,,,,,,
방배 골목 지나가다 눈에 띄어 들어갔는데 와!,,,,,,,,,,1
코코넛이 들어갔다는 업셋 라떼.,,1,,,,,,,,
갠적으로 코코넛 그닥인데 이건 엄청 호! 하면서 꿀떡 마심.,,1,,,,,,,,
크럼블도 라즈베리 듬뿍인데 달지 않고 하..,,,1,,,,,,,
결국 드립 커피 추가 주문,,1,,,,,,,,
홍차 맛 나는 에티오피아 원두인데 흔하지 않은 고급 원두라 입 안에서 향이 팡팡 터지는 니낌.,,1,,,,,,,,
에티오피아 쉬파로우 단맛 중심에 약간에 딸기 뉘양스가 있는 것 같아요,,1,,,,,,,,
너무 맛있어요,,,,,,,,,,1
드립커피랑 꾸덕꾸덕 브라우니 존 맛이구요..,,1,1,,,,,,,
분명 카페인데 디퓨저를 좋은 거 쓰시는지 카페에서 향기가 나네요,,,,1,,1,,,,
청소도 맨날 하시는지,,,,1,,,,,,
엄청 깔끔 집 주변에 있었으면 자주 갈 터인데,,,,1,,,,,,
분위기 좋은 커피 맛집!!!!!!!,,,,,,1,,,,
커피 맛이 좋아요!,,1,,,,,,,,
조용한 분위기 좋아하면 추천 업 셋 라떼 크럼블 맛있어요,,1,,,,1,,,,
코코넛 라떼 달달하고 맛나요!,,1,,,,,,,,
커피가 너무 맛있어서 자주 가고 있어요,,1,,,,,,,,
라떼 맛집!,,1,,,,,,,,
#방배카페 #플랫화이트 #아이스카페라떼,,,,,,,,,,1
바닐라 라떼 마시고 싶어서 배달 주문,,1,,,,,,,,
넘 맛있어용,,,1,,,,,,,1
와플도 맛나요!,,,1,,,,,,,
음료 맛 잇네요,,1,,,,,,,,
공부하기 좋아요,,,,,,1,,,,
음료랑 디저트도 맛있어요,,1,1,,,,,,,
맛은 쏘쏘 매장 분위기는 좋아요,,1,1,,,1,,,,
딸기 요거트 스무디랑 레몬 망고 블랙 티 완전 맛있어요!!!,,1,,,,,,,,
집중하기 좋습니다,,,,,,1,,,,
관악 근처 카페 어디 갈까 하다가 로고도 특이하고,,,,,,,,,,1
작업할 때 종종 방문하는 데 좋아요,,,,,,,,,,1
넓고 공부하기 좋아요.,,,,,,1,,,,
근데 사람도 많아서 자리 잡기 좀 힘들어요!,,,,,1,,,,,
지하는 찐 공부하는 분위기라 조용하고 1 층은 그래도 편한 분위기에요,,,,,,1,,,,
흑임자 라떼 추천받아 갔는데 너무 맛있었어요!!,,1,,,,,,,,
갠적으로 아인슈페너로 유명한,,1,,,,,,,,
보다 맛있었어요,,,,,,,,,,1
1 층은 이야기 나누기 좋고,,,,,,1,,,,
지하는 또 콘센트도 많고,,,,,,1,,,,
개인 시간도 보낼 수 있는 공간이라서 다음에 책 읽을 때 또 와야지,,,,,,1,,,,
한적한 곳에 위치해서 머물고 가기 좋은 카페에요.,,,,,,,1,,,
공부하기 좋아요,,,,,,1,,,,
조용해요,,,,,,1,,,,
퍼플이 맛있어용,,1,1,,,,,,,
테이크아웃 이용 시 아아 저렴해서 조아용,1,,,,,,,,,
쾌적,,,,,,1,,,,
집 근처 괜찮은 카페,,,,,,,,,,1
